question,result,context
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title | Description | Variety | Country | Region | Winery | Province |
Recommend a wine with hints of berry.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Markowitsch 2012 Rosenberg Red (Carnuntum) | Inviting hints of crushed blueberry and blackberry with overtones of smoke. Smooth palate with ripe tannins and refreshing berry fruit. | Red Blend | Austria | Carnuntum | Markowitsch | Carnuntum |
| Justin 2012 Justification Red (Paso Robles) | Blackberry, black cherry and blueberry aromas with complex hints of dark chocolate and nutmeg. Firm tannins with black plums, vanilla, caramel, dill and dried mint flavors. | Bordeaux-style Red Blend | US | Paso Robles | Justin | California |
| Red Rock 2012 Winemaker's Blend Reserve Red (California) | Extroverted wine with blackberry jam smells and tastes of boysenberry and blackberry with hints of chocolate and cherry. | Red Blend | US | California | Red Rock | California |
| Viña Bujanda 2011 Tinto  (Rioja) | Berry aromas with a hint of pine and juniper. Quick wash of red plum and raspberry flavors with an herbal leaning and minty notes. | Tempranillo | Spain | Rioja | Viña Bujanda | Northern Spain |
| Olivier Rivière 2016 Rayos Uvas  (Rioja) | Blueberry and blackberry aromas with a little earthiness. Juicy, jammy palate with raspberry, tart red plum and spice flavors. | Red Blend | Spain | Rioja | Olivier Rivière | Northern Spain |","Country: Austria, Description: The merest hint of red currant berries plays on the nose and then relaxes into a fresh but fruit-filled palate. It's a light, dry rosé that is simple but very refreshing. Drink soon., Designation: Jerry & Barry, Points: 86.0, Price: 12.0, Province: Weinland Österreich, Title: Markus Altenburger 2013 Jerry & Barry Rosé (Weinland Österreich), Variety: Rosé, Winery: Markus Altenburger, Region: Weinland Österreich, Style1: Rosé - Weinland Österreich, Style2: Rosé - Weinland Österreich, Style3: Rosé - Austria Country: Austria, Description: Inviting hints of crushed blueberry and blackberry show the slightest overtones of smoke. The palate is smooth, with still slightly crunchy but ripe tannins that provide a pleasant framework for the refreshing berry fruit. A ripe, appetizing medium-bodied red with a welcome streak of freshness., Designation: Rosenberg, Points: 89.0, Price: 60.0, Province: Carnuntum, Title: Markowitsch 2012 Rosenberg Red (Carnuntum), Variety: Red Blend, Winery: Markowitsch, Region: Carnuntum, Style1: Red Blend - Carnuntum, Style2: Red Blend - Carnuntum, Style3: Red Blend - Austria Country: US, Description: Blackberry, black cherry and blueberry aromas are cut by complex hints of dark chocolate and nutmeg on this Cabernet Franc and Merlot blend. The tannins are quite firm on the palate, framing black plums, vanilla, caramel, dill and dried mint flavors. Drinking 2018–2030 will allow more black cherry and blueberry character to evolve on the sip., Designation: Justification, Points: 93.0, Price: 55.0, Province: California, Title: Justin 2012 Justification Red (Paso Robles), Variety: Bordeaux-style Red Blend, Winery: Justin, Region: Paso Robles, Style1: Bordeaux-style Red Blend - California, Style2: Bordeaux-style Red Blend - Paso Robles, Style3: Bordeaux-style Red Blend - Paso Robles Country: Australia, Description: This wine starts off a bit tarry or rubbery, but decanting allows the bright berry fruit to come forward. Raspberries are limned with hints of mint and other herbs and framed by vanilla. It's medium-bodied, with a tangy finish and a crisp, satiny texture. Drink now., Designation: Benchmark, Points: 87.0, Price: 15.0, Province: South Australia, Title: Grant Burge 2010 Benchmark Shiraz (South Australia), Variety: Shiraz, Winery: Grant Burge, Region: South Australia, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: US, Description: This extroverted and very yummy wine is dark and deep in color. It smells like it's drenched in blackberry jam and tastes almost as thick. Gobs of boysenberry and blackberry flavors carry hints of chocolate and cherry. It's not too full bodied, just full flavored., Designation: Winemaker's Blend Reserve, Points: 90.0, Price: 14.0, Province: California, Title: Red Rock 2012 Winemaker's Blend Reserve Red (California), Variety: Red Blend, Winery: Red Rock, Region: California, Style1: Red Blend - California, Style2: Red Blend - California, Style3: Red Blend - California Country: Spain, Description: Berry aromas with a hint of pine and juniper form the opening on this fresh-style Rioja. A quick wash of red plum and raspberry flavors comes with an herbal leaning and minty notes. This finishes firm but light in weight, with a minty aftertaste., Designation: Tinto, Points: 85.0, Price: 10.0, Province: Northern Spain, Title: Viña Bujanda 2011 Tinto  (Rioja), Variety: Tempranillo, Winery: Viña Bujanda, Region: Rioja, Style1: Tempranillo - Northern Spain, Style2: Tempranillo - Northern Spain, Style3: Tempranillo - Spain Country: Spain, Description: Pure, deep berry aromas are accented by quality oak and a hint of earthy prune. Chewy, dense and concentrated on the palate, this tastes ripe, chocolaty and earthy, with blackberry and pepper flavors that stay the course and finish peppery and dark, with a mild note of rubber. Drink through 2019., Designation: Embruix, Points: 90.0, Price: 27.0, Province: Catalonia, Title: Vall Llach 2013 Embruix Red (Priorat), Variety: Red Blend, Winery: Vall Llach, Region: Priorat, Style1: Red Blend - Catalonia, Style2: Red Blend - Catalonia, Style3: Red Blend - Spain Country: US, Description: Hints of earth and mushroom, soy sauce and brine add umami to succulent blackberry and cherry flavors in this Merlot-based Bordeaux blend. The palate is crisp with sour-cherry acidity, and finishes with bold, chunky tannins that linger. It's showing quite a bit of maturity already, so drink now with a quick decant., Designation: La Tavola, Points: 86.0, Price: 14.0, Province: New York, Title: Raphael 2010 La Tavola Red (North Fork of Long Island), Variety: Bordeaux-style Red Blend, Winery: Raphael, Region: North Fork of Long Island, Style1: Bordeaux-style Red Blend - New York, Style2: Bordeaux-style Red Blend - New York, Style3: Bordeaux-style Red Blend - New York Country: Italy, Description: If you can accept a slight hint of jamminess, this blend of Cabernet Sauvignon and Petit Verdot is for you. Beyond the ripe cherry and blackberry is a beautiful blast of pleasure and opulence. Pair this wine with succulent cuts of red meat., Designation: San Martino, Points: 91.0, Price: unknown, Province: Tuscany, Title: Cipriana 2007 San Martino  (Bolgheri Superiore), Variety: Red Blend, Winery: Cipriana, Region: Bolgheri Superiore, Style1: Red Blend - Tuscany, Style2: Red Blend - Tuscany, Style3: Red Blend - Italy Country: Spain, Description: Jumpy, punchy berry aromas are high-toned. This blend feels creamy, candied and syrupy. Sweet flavors of baked fruits and Boston baked beans finish with hints of berry syrup., Designation: Made With Organically Grown Grapes, Points: 83.0, Price: 25.0, Province: Spain Other, Title: Earth Wise 2015 Made With Organically Grown Grapes Red (Spain), Variety: Red Blend, Winery: Earth Wise, Region: Spain, Style1: Red Blend - Spain Other, Style2: Red Blend - Spain Other, Style3: Red Blend - Spain Country: Spain, Description: Blueberry and blackberry aromas are spunky and a little earthy. A juicy, jammy palate is angular and fairly sharp. Wild berry flavors seem right off the bush, while this wine is tight and narrow on an acidic finish. Drink through 2023., Designation: Rayos Uvas, Points: 90.0, Price: 17.0, Province: Northern Spain, Title: Olivier Rivière 2016 Rayos Uvas  (Rioja), Variety: Red Blend, Winery: Olivier Rivière, Region: Rioja, Style1: Red Blend - Northern Spain, Style2: Red Blend - Northern Spain, Style3: Red Blend - Spain Country: Spain, Description: Fiery berry and cherry aromas emerge with a hint of milk chocolate. This wine feels high in acidity, with raspberry, tart red plum and spice flavors that finish with citrusy snap and grittiness., Designation: Bordón Reserva, Points: 85.0, Price: 15.0, Province: Northern Spain, Title: Bodegas Franco-Españolas 2007 Bordón Reserva  (Rioja), Variety: Tempranillo Blend, Winery: Bodegas Franco-Españolas, Region: Rioja, Style1: Tempranillo Blend - Northern Spain, Style2: Tempranillo Blend - Northern Spain, Style3: Tempranillo Blend - Spain Country: Spain, Description: This is floral on the nose, but also candied smelling. So don't be surprised that the palate, while friendly and fruity, is also sticky in feel with a syrupy core flavor that's suggestive of residual sugar. That said, this jellybean is an easy drinker., Designation: Berry Smooth, Points: 85.0, Price: 13.0, Province: Catalonia, Title: Jellybean Wines 2011 Berry Smooth Red (Catalunya), Variety: Red Blend, Winery: Jellybean Wines, Region: Catalunya, Style1: Red Blend - Catalonia, Style2: Red Blend - Catalonia, Style3: Red Blend - Spain Country: Spain, Description: Wiry berry aromas come with a touch of sweet plastic. This feels hard and tannic as well as fleshy. Herbal, lightly weedy and salty plum and berry flavors finish with lively acidity and foxy, jammy berry notes., Designation: Tinto Niño Jesús, Points: 84.0, Price: 10.0, Province: Northern Spain, Title: Figaro 2015 Tinto Niño Jesús Garnacha (Calatayud), Variety: Garnacha, Winery: Figaro, Region: Calatayud, Style1: Garnacha - Northern Spain, Style2: Garnacha - Northern Spain, Style3: Garnacha - Spain Country: Portugal, Description: Packed with ripe blackberry fruits, this is a dense, concentrated wine. It has a powerful structure that is filled out with delicious jammy fruits. The wine is perfumed and fresh with acidity while keeping its solid, dark character that is at its heart. Drink now, although the wine will be even better from 2018., Designation: Statement, Points: 91.0, Price: unknown, Province: Port, Title: Barão de Vilar 2011 Statement  (Port), Variety: Port, Winery: Barão de Vilar, Region: Port, Style1: Port - Port, Style2: Port - Port, Style3: Port - Portugal"
Is there a wine that is not too sweet?,"Yes, there are several wines that are not too sweet. Here are some recommendations:

| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Brutocao 2013 Slow Lope'n Vineyard Pinot Noir (Anderson Valley) | Almost like liquid cherry pie—but not sweet—this medium-bodied wine smells like the red fruit and baking spices, and tastes fresh and juicy with both red and sour cherries. | Pinot Noir | US | Anderson Valley | Brutocao | California |
| Rosa d'Oro 2012 Slightly Sweet Muscat (Yolo County) | This fragrant and inviting wine is exactly what it proclaims to be, slightly sweet in honeysuckle, citrus and crisp texture. | Muscat | US | Yolo | Rosa d'Oro | California |
| Hogue 2010 Late Harvest Riesling (Columbia Valley (WA)) | Labeled late harvest, but not terribly sweet, this includes small amounts of Muscat, Gewürztraminer and Chenin Blanc in the blend. | Riesling | US | Columbia Valley (WA) | Hogue | Washington |
| Keuka Spring 2009 Semi Sweet Riesling (Finger Lakes) | Mulled apple cider, ginger and candied orange peel aromas perfume this easy-drinking Riesling. | Riesling | US | Finger Lakes | Keuka Spring | New York |
| Lake Chelan 2010 Sweet Riesling (Lake Chelan) | Not really sweet, and not entirely Riesling (the blend includes 13% Gewürztraminer and 10% Pinot Gris), this off-dry wine tastes like fresh squeezed apple juice, lightly sweetened. | Riesling | US | Lake Chelan | Lake Chelan | Washington |","Country: US, Description: From both Muscat Canelli (65%) and Muscat Giallo (35%), this fragrant and inviting wine is exactly what it proclaims to be, slightly sweet in honeysuckle, citrus and crisp texture. It offers lightness and lingering acidity in a moderate-alcohol package., Designation: Slightly Sweet, Points: 90.0, Price: 16.0, Province: California, Title: Rosa d'Oro 2012 Slightly Sweet Muscat (Yolo County), Variety: Muscat, Winery: Rosa d'Oro, Region: Yolo, Style1: Muscat - California, Style2: Muscat - Yolo, Style3: Muscat - Yolo Country: US, Description: Sweet but not too sweet for some entrées, such as spicy Thai food, this brings a fruity mix of pear, pineapple and orange-creamsickle flavors. It's smooth and soft, not at all sugary, and framed with fresh acids., Designation: Sweet, Points: 89.0, Price: 10.0, Province: Washington, Title: Pacific Rim 2012 Sweet Riesling (Columbia Valley (WA)), Variety: Riesling, Winery: Pacific Rim, Region: Columbia Valley (WA), Style1: Riesling - Washington, Style2: Riesling - Washington, Style3: Riesling - Washington Country: US, Description: Labeled late harvest, but not terribly sweet, this includes small amounts of Muscat, Gewürztraminer and Chenin Blanc in the blend. Lemony with both citrus rind and sweet candy flavors, it's a useful, off-dry wine with a slightly sugary finish., Designation: Late Harvest, Points: 87.0, Price: 8.0, Province: Washington, Title: Hogue 2010 Late Harvest Riesling (Columbia Valley (WA)), Variety: Riesling, Winery: Hogue, Region: Columbia Valley (WA), Style1: Riesling - Washington, Style2: Riesling - Washington, Style3: Riesling - Washington Country: US, Description: Mulled apple cider, ginger and candied orange peel aromas perfume this easy-drinking Riesling. Tart acidity and a kick of apple pie spice meld playfully with the semisweet palate. A nice wine for casual autumn entertaining., Designation: Semi Sweet, Points: 85.0, Price: 14.0, Province: New York, Title: Keuka Spring 2009 Semi Sweet Riesling (Finger Lakes), Variety: Riesling, Winery: Keuka Spring, Region: Finger Lakes, Style1: Riesling - New York, Style2: Riesling - New York, Style3: Riesling - New York Country: US, Description: Not really sweet, and not entirely Riesling (the blend includes 13% Gewürztraminer and 10% Pinot Gris), this off-dry wine tastes like fresh squeezed apple juice, lightly sweetened., Designation: Sweet, Points: 84.0, Price: 20.0, Province: Washington, Title: Lake Chelan 2010 Sweet Riesling (Lake Chelan), Variety: Riesling, Winery: Lake Chelan, Region: Lake Chelan, Style1: Riesling - Washington, Style2: Riesling - Washington, Style3: Riesling - Washington Country: Hungary, Description: This semisweet late harvest Hungarian wine has aromas of apricot, caramelized pear and pear tart. There are lovely flavors of canned apricots, sweet ripe pear, white flowers and honeycomb. The finish is sweet but has balanced acidity., Designation: Once Upon a Time Szamorodni Sweet, Points: 90.0, Price: 33.0, Province: Tokaj, Title: Basilicus 2012 Once Upon a Time Szamorodni Sweet Furmint (Tokaj), Variety: Furmint, Winery: Basilicus, Region: Tokaj, Style1: Furmint - Tokaj, Style2: Furmint - Tokaj, Style3: Furmint - Hungary Country: Romania, Description: This medium-sweet wine brings aromas of acacia flowers and lemon lime zest to the fore. In the mouth there are flavors of honeycomb, lemon and acacia flower. The finish is delightful and slightly sweet., Designation: Treasure of Transylvania Medium Sweet, Points: 86.0, Price: 8.0, Province: Tarnave, Title: Jidvei 2016 Treasure of Transylvania Medium Sweet Gewurztraminer (Tarnave), Variety: Gewürztraminer, Winery: Jidvei, Region: Tarnave, Style1: Gewürztraminer - Tarnave, Style2: Gewürztraminer - Tarnave, Style3: Gewürztraminer - Romania Country: Argentina, Description: Sweet it is, but given the price it is good wine with mass appeal. Apple, pear and mellow citrus aromas and flavors feature zero funk or mealy character, and the finish offers a dab of butterscotch. Shows mild residual sugar but many consumers will like that., Designation: Elsa, Points: 85.0, Price: 9.0, Province: Mendoza Province, Title: Valentin Bianchi 2008 Elsa Chardonnay, Variety: Chardonnay, Winery: Valentin Bianchi, Region: Mendoza Province, Style1: Chardonnay - Mendoza Province, Style2: Chardonnay - Mendoza Province, Style3: Chardonnay - Argentina Country: US, Description: Semisweet it is, with 12.2% alcohol and 30 g/L residual sugar. Lightly scented with bath powder, lavender and rose petal aromas, this brings on citrus and peach fruit, with a bit of phenolic bite carrying the finish., Designation: Semi-Sweet, Points: 87.0, Price: 10.0, Province: Oregon, Title: Oak Knoll 2011 Semi-Sweet Riesling (Oregon), Variety: Riesling, Winery: Oak Knoll, Region: Oregon Other, Style1: Riesling - Oregon, Style2: Riesling - Oregon Other, Style3: Riesling - Oregon Other Country: US, Description: Almost like liquid cherry pie—but not sweet—this medium-bodied wine smells like the red fruit and baking spices, and tastes fresh and juicy with both red and sour cherries. It has good heft on the palate due to firm but light tannins and supportive acidity for balance., Designation: Slow Lope'n Vineyard, Points: 90.0, Price: 32.0, Province: California, Title: Brutocao 2013 Slow Lope'n Vineyard Pinot Noir (Anderson Valley), Variety: Pinot Noir, Winery: Brutocao, Region: Anderson Valley, Style1: Pinot Noir - California, Style2: Pinot Noir - Anderson Valley, Style3: Pinot Noir - Anderson Valley Country: US, Description: Rich, ripe yellow cherries and honeysuckle waft from this luxuriously honeyed off-dry Riesling. A sweet tangerine flavor is densely concentrated on the palate, yet the wine is sprightly and zesty in mouthfeel. An elegant floral spray extends the long, lingering finish., Designation: Semi Sweet, Points: 90.0, Price: 15.0, Province: New York, Title: Keuka Spring 2013 Semi Sweet Riesling (Finger Lakes), Variety: Riesling, Winery: Keuka Spring, Region: Finger Lakes, Style1: Riesling - New York, Style2: Riesling - New York, Style3: Riesling - New York Country: Chile, Description: Made in a semisweet style, this smells almost dry, with notes of cheese and vanilla. On the palate, it's simple, where the sugary flavors quickly emerge before fading away to almost nothing., Designation: Semi Sweet, Points: 84.0, Price: 10.0, Province: Molina, Title: Floria 2010 Semi Sweet Cabernet Sauvignon (Molina), Variety: Cabernet Sauvignon, Winery: Floria, Region: Molina, Style1: Cabernet Sauvignon - Molina, Style2: Cabernet Sauvignon - Molina, Style3: Cabernet Sauvignon - Chile Country: US, Description: This Beaver State answer to Moscato d'Asti is sweet, sweet and more sweet. Who knows what the actual residual sugar reading is? That said, the lemon-lime aromas with notes of basil and tarragon are nice, and the wine is currently quite fresh (although it likely won't last long). Not too bubbly or aggressive, and pretty in the mouth due to fairly snappy acids. Drink now with fruit-based desserts or frosted cake., Designation: Early Muscat - Semi Sparkling, Points: 85.0, Price: 14.0, Province: Oregon, Title: Silvan Ridge 2002 Early Muscat - Semi Sparkling Muscat (Oregon), Variety: Muscat, Winery: Silvan Ridge, Region: Oregon Other, Style1: Muscat - Oregon, Style2: Muscat - Oregon Other, Style3: Muscat - Oregon Other Country: US, Description: This is an excellent Harvest Select bottling, with bright, sappy flavors that seem not all that sweet. The residual sugar, listed at 47 g/L, is an asset, but doesn't dominate. Flavors remain as crisp as a fresh Macintosh apple, juicy, forward and delicious., Designation: Harvest Select Sweet, Points: 90.0, Price: 10.0, Province: Washington, Title: Chateau Ste. Michelle 2012 Harvest Select Sweet Riesling (Columbia Valley (WA)), Variety: Riesling, Winery: Chateau Ste. Michelle, Region: Columbia Valley (WA), Style1: Riesling - Washington, Style2: Riesling - Washington, Style3: Riesling - Washington Country: Portugal, Description: A balanced wine that has both fresh red fruits and some tawny maturity. It has acidity, hints of wood aging and a spirit of freshness. The aftertaste is soft, smooth and toffee-like. Smooth-textured Port, with sweet red fruits under the brown sugar, nut and spirit flavors. This is certainly on the sweet side, with a velvet feel to it., Designation: Special Reserve Tawny, Points: 87.5, Price: 17.5, Province: Port, Title: Poças NV Special Reserve Tawny  (Port), Variety: Port, Winery: Poças, Region: Port, Style1: Port - Port, Style2: Port - Port, Style3: Port - Portugal"
Recommend a wine with hints of oak.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Terroirs et Talents 2006 Château de la Terrière  (Beaujolais-Villages) | A hint of wood is a good sign of the richness and balance of this wine. There is some dryness and tautness to go with its black cherry and plum-skin flavors. | Gamay | France | Beaujolais-Villages | Terroirs et Talents | Beaujolais |
| Rijk's 2009 Touch of Oak Shiraz (Tulbagh) | This wine exhibits an assertive oak-driven character throughout that produces an overall sweet red cherry and berry profile. | Shiraz | South Africa | Tulbagh | Rijk's | Tulbagh |
| Barrel Oak 2008 Barrel Fermented Chardonnay (Virginia) | Hints of freshly pressed apples and pears in a darkly toasted oak barrel come through. | Chardonnay | US | Virginia | Barrel Oak | Virginia |
| Valdubón 2004 Honoris de Valdubón  (Ribera del Duero) | Oak is front and center on this high-priced affair from Freixenet. | Tempranillo Blend | Spain | Ribera del Duero | Valdubón | Northern Spain |
| Veramar 2013 Barrel Fermented Chardonnay (Virginia) | Oak-driven aromas are strong on the nose, with buttered popcorn dominating. | Chardonnay | US | Virginia | Veramar | Virginia |","Country: France, Description: A hint of wood is a good sign of the richness and balance of this wine. There is some dryness and tautness to go with its black cherry and plum-skin flavors. There is a big and bold fruity aftertaste., Designation: Château de la Terrière, Points: 88.0, Price: unknown, Province: Beaujolais, Title: Terroirs et Talents 2006 Château de la Terrière  (Beaujolais-Villages), Variety: Gamay, Winery: Terroirs et Talents, Region: Beaujolais-Villages, Style1: Gamay - Beaujolais, Style2: Gamay - Beaujolais, Style3: Gamay - France Country: South Africa, Description: Although the label reads “Touch of Oak,” this wine exhibits an assertive oak-driven character throughout that produces an overall sweet red cherry and berry profile. Medium weight with light tannins, it's easy to drink now., Designation: Touch of Oak, Points: 86.0, Price: 40.0, Province: Tulbagh, Title: Rijk's 2009 Touch of Oak Shiraz (Tulbagh), Variety: Shiraz, Winery: Rijk's, Region: Tulbagh, Style1: Shiraz - Tulbagh, Style2: Shiraz - Tulbagh, Style3: Shiraz - South Africa Country: US, Description: Hints of freshly pressed apples and pears in a darkly toasted oak barrel come through. Deft use of new French oak results in a full-bodied wine with a lush, buttered toast richness that highlights sweet apple and lemon flavors. The finish is clean and lemony with a slight saline touch., Designation: Barrel Fermented, Points: 85.0, Price: 26.0, Province: Virginia, Title: Barrel Oak 2008 Barrel Fermented Chardonnay (Virginia), Variety: Chardonnay, Winery: Barrel Oak, Region: Virginia, Style1: Chardonnay - Virginia, Style2: Chardonnay - Virginia, Style3: Chardonnay - Virginia Country: Spain, Description: Oak is front and center on this high-priced affair from Freixenet. And that's the primary problem with what is otherwise a commendable and solid wine. Vanilla and resin aromas and flavors push the fruit to the side, and what's left is a slick of butter, sawdust and tannic astringency. Not a bust, but for nearly a hundred bucks we want more than just wood. Imported by Freixenet USA., Designation: Honoris de Valdubón, Points: 87.0, Price: 95.0, Province: Northern Spain, Title: Valdubón 2004 Honoris de Valdubón  (Ribera del Duero), Variety: Tempranillo Blend, Winery: Valdubón, Region: Ribera del Duero, Style1: Tempranillo Blend - Northern Spain, Style2: Tempranillo Blend - Northern Spain, Style3: Tempranillo Blend - Spain Country: US, Description: Oak-driven aromas are strong on the nose, with buttered popcorn dominating. Full and rich, notes of cedar and toast pervade over a hint of green apple. A bit lazy on the palate, this oaked style is for those who enjoy rich and creamy Chardonnay., Designation: Barrel Fermented, Points: 85.0, Price: 23.0, Province: Virginia, Title: Veramar 2013 Barrel Fermented Chardonnay (Virginia), Variety: Chardonnay, Winery: Veramar, Region: Virginia, Style1: Chardonnay - Virginia, Style2: Chardonnay - Virginia, Style3: Chardonnay - Virginia Country: Spain, Description: Smoky oak and dark cherry fruit with herb accents complement each other well in this medium-weight, even red. Leathery hints add complexity, and this tasty, straightforward Rioja never get harsh or astringent. Drink now–2004. —M.M., Designation: Crianza, Points: 85.0, Price: 12.0, Province: Northern Spain, Title: El Coto 1998 Crianza  (Rioja), Variety: Tempranillo, Winery: El Coto, Region: Rioja, Style1: Tempranillo - Northern Spain, Style2: Tempranillo - Northern Spain, Style3: Tempranillo - Spain Country: US, Description: Smoky, toasty oak aromas and flavors give a flamboyant personality to this full-bodied wine. It smells literally like wood smoke and toasted French bread, while flavors recall jam spiced with cloves and cinnamon. These are all tasty elements, and this wine will be a hit with oak lovers., Designation: Cougar Hill, Points: 88.0, Price: 18.0, Province: California, Title: Sobon Estate 2014 Cougar Hill Zinfandel (Amador County), Variety: Zinfandel, Winery: Sobon Estate, Region: Amador, Style1: Zinfandel - California, Style2: Zinfandel - Amador, Style3: Zinfandel - Amador Country: France, Description: Some oak aging shows in the smoothness of the wine, which has good concentration as well as young fruitiness. It is tangy with a mineral texture and richness that come from the lees aging in barrel. The wine should mature a little longer, so drink from 2017., Designation: Les Vieilles Vignes, Points: 88.0, Price: unknown, Province: Burgundy, Title: Domaine Pascal Bouchard 2014 Les Vieilles Vignes  (Chablis), Variety: Chardonnay, Winery: Domaine Pascal Bouchard, Region: Chablis, Style1: Chardonnay - Burgundy, Style2: Chardonnay - Burgundy, Style3: Chardonnay - France Country: Italy, Description: This shows very evident oak aromas along with toast, coffee, vanilla and incense notes. The palate reflects the heavy wood influence that muffles the dark fruit just below the surface. Drying wood tannins cut the finish short., Designation: Castelvecchi, Points: 85.0, Price: 28.0, Province: Tuscany, Title: Vèscine 2010 Castelvecchi  (Chianti Classico), Variety: Red Blend, Winery: Vèscine, Region: Chianti Classico, Style1: Red Blend - Tuscany, Style2: Red Blend - Tuscany, Style3: Red Blend - Italy Country: Argentina, Description: Oak is front and center on the bouquet, and with that come accents of dried cheese and sawdust. Feels saturated, layered and tannic in the mouth, with roasted berry, black plum, herb and spice flavors. Feels and tastes a touch resiny on the finish, more evidence of the wine's barrel influence., Designation: Reserva, Points: 88.0, Price: 29.0, Province: Mendoza Province, Title: Altocedro 2010 Reserva Malbec (La Consulta), Variety: Malbec, Winery: Altocedro, Region: La Consulta, Style1: Malbec - Mendoza Province, Style2: Malbec - Mendoza Province, Style3: Malbec - Argentina Country: Spain, Description: A staunch, almost severe level of oak controls the nose on this barrel-fermented Viura that's narrow on the palate, with high acidity. Oak stays around as the lead flavor, with a hint of sour apple, while texturally this feels solid and not too resiny., Designation: Barrel Fermented, Points: 85.0, Price: 15.0, Province: Northern Spain, Title: Taron 2015 Barrel Fermented Viura (Rioja), Variety: Viura, Winery: Taron, Region: Rioja, Style1: Viura - Northern Spain, Style2: Viura - Northern Spain, Style3: Viura - Spain Country: US, Description: A light wine with a hit of oak midpalate, this offers bright red cherry and black currant fruit with a suggestion of thyme and toffee on the finish. Smooth to drink, it's a fine choice for red-meat dishes like beef lasagne., Designation: Estate, Points: 87.0, Price: 28.0, Province: California, Title: Jason-Stephens 2010 Estate Mourvèdre (Santa Clara Valley), Variety: Mourvèdre, Winery: Jason-Stephens, Region: Santa Clara Valley, Style1: Mourvèdre - California, Style2: Mourvèdre - Santa Clara Valley, Style3: Mourvèdre - Santa Clara Valley Country: Argentina, Description: Char, sawdust and black cherry aromas confirm the wine's “oak cask” labeling. Full bodied and ripe, it conveys meaty thickness and bold flavors of berry and spiced plum. A toasty, charred finish is lifted by bright acidity and fresh black-fruit flavors. This will go well with just about anything off the grill., Designation: Oak Cask, Points: 88.0, Price: 10.0, Province: Mendoza Province, Title: Trapiche 2012 Oak Cask Syrah (Mendoza), Variety: Syrah, Winery: Trapiche, Region: Mendoza, Style1: Syrah - Mendoza Province, Style2: Syrah - Mendoza Province, Style3: Syrah - Argentina Country: France, Description: The oak aging, implicit in the name of the wine, is present in its smooth character. This bottling is in the elegant style typical of Famaey wines and also has weight and firm, concentrated black fruit with acidity and a dry core. Drink from 2019., Designation: Fût de Chêne, Points: 91.0, Price: 20.0, Province: Southwest France, Title: Château Famaey 2011 Fût de Chêne Malbec (Cahors), Variety: Malbec, Winery: Château Famaey, Region: Cahors, Style1: Malbec - Southwest France, Style2: Malbec - Southwest France, Style3: Malbec - France Country: France, Description: A touch of wood helps the wine's light fruit to deepen and become richer. The wine is well balanced, with fresh acidity giving a good lift., Designation: Elevé en Fûts de Chêne, Points: 85.0, Price: 15.0, Province: Bordeaux, Title: Château Grand Jean 2009 Elevé en Fûts de Chêne  (Bordeaux Supérieur), Variety: Bordeaux-style Red Blend, Winery: Château Grand Jean, Region: Bordeaux Supérieur, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France"
"I'd like a rose wine, excluding Pinot Noir.","| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
